Country Name,Date,Total Population,Mobile subscribers,Health:mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health:mortality under-5),Region
Ecuador,7/1/2000,12345023,482213,33,1,1291,0.039061,7.163172,3.496508,The Americas
Paraguay,7/1/2000,5343539,820810,35,1,1323,0.153608,7.187657,3.555348,The Americas
Guatemala,7/1/2000,11237101,856831,49,1,1717,0.076250,7.448334,3.891820,The Americas
Suriname,7/1/2000,466846,41048,40,3,1911,0.087926,7.555382,3.688879,The Americas
Peru,7/1/2000,25861887,1273857,41,3,2061,0.049256,7.630947,3.713572,The Americas
El Salvador,7/1/2000,5940305,743628,34,1,2211,0.125183,7.701200,3.526361,The Americas
Colombia,7/1/2000,39764166,2256801,27,2,2524,0.056755,7.833600,3.295837,The Americas
Cuba,7/1/2000,11104313,6536,9,1,2753,0.000589,7.920447,2.197225,The Americas
Dominican Republic,7/1/2000,8591967,705431,41,4,2793,0.082104,7.934872,3.713572,The Americas
Belize,7/1/2000,249800,16812,27,6,3331,0.067302,8.111028,3.295837,The Americas
Jamaica,7/1/2000,2589389,366952,30,3,3479,0.141714,8.154500,3.401197,The Americas
St. Vincent and the Grenadines,7/1/2000,107891,2361,22,3,3684,0.021883,8.211754,3.091042,The Americas
Brazil,7/1/2000,174425387,23188171,36,3,3696,0.132940,8.215006,3.583519,The Americas
Panama,7/1/2000,2956126,410401,26,7,3931,0.138831,8.276649,3.258097,The Americas
Costa Rica,7/1/2000,3919180,211614,13,6,4069,0.053994,8.311153,2.564949,The Americas
St. Lucia,7/1/2000,155996,2500,18,5,4622,0.016026,8.438583,2.890372,The Americas
Dominica,7/1/2000,69672,1200,15,9,4718,0.017224,8.459140,2.708050,The Americas
"Venezuela, RB",7/1/2000,24311000,5447172,25,3,4819,0.224062,8.480322,3.218876,The Americas
Chile,7/1/2000,15419820,3401525,11,17,4878,0.220594,8.492491,2.397895,The Americas
